;Asunción;Augusto Weberbauer;Cachachi;Celendín;Cospán;Granja Porcón;Hacienda Llagadén;Jesús Túnel;Llapa;Magdalena;Matara;Namora;Quilcate;San Juan;Sayapullo
1/10/1995;33;51.8;82;;29.1;96.5;29.1;74.1;65.3;18.2;;68.6;87.7;54.9;17.4
1/11/1995;40;50.5;131.9;;36.3;125.9;22.5;56.9;67.4;12.2;;72.3;129.4;52;14.1
1/12/1995;95;76.4;181.1;;119;243.9;54.2;89.5;112.3;44.7;;121.9;200.7;119.8;109.5
1/01/1996;151;65.2;159.5;;107.4;198.8;85.1;76.8;151.6;65.3;;98.1;93;164.3;102
1/02/1996;206;124;180.4;;301.1;407.5;122.1;112;224.3;103.4;;181.3;216.9;204.7;152.7
1/03/1996;283;120.1;285.9;;237.5;312.7;172.4;142;244.5;123.2;;251.7;217.8;301.4;160.8
1/04/1996;78;50.4;90;74.5;62.2;141.3;66.4;97.2;62.8;61.4;;81.4;109.5;75.5;90.7
1/05/1996;11;13.7;35.5;28;0;59.7;2.1;18.2;23.3;1.6;;20;51.5;10.1;9.2
1/06/1996;10;0.8;13;0;11.3;49.7;0;7;3;3.7;;0.3;15.3;13;0
1/07/1996;0;0.5;0;0.5;1.3;0;0;0.5;2;0;;0.5;4.7;0;0
1/08/1996;3;15.8;;0;5.7;20.3;;15.8;6.9;0.5;;6.5;46.8;6;5.2
1/09/1996;37;13.9;;24.4;1.5;48.5;;18.2;32.1;6.3;;26.1;56;12.1;4
1/10/1996;50;76.2;127.5;176.3;78.9;232.9;;78.8;105.1;17.3;;91;144.6;64.1;87.2
1/11/1996;22;68.8;132.3;62.6;25.4;80.6;;45.5;41.8;8.8;;50.6;75.7;32.6;4.2
1/12/1996;21;34.1;72.5;17.2;14.7;58.6;;;38.7;0;;18.8;38.4;31.7;1.6
1/01/1997;54;63.8;108.5;51.9;33.1;186.9;;75.6;44.4;13.3;;68.5;63.1;70;59.3
1/02/1997;185;152.9;338;109.2;204.4;190.3;;125.1;174.1;84.8;;138.7;170.5;182.2;167
1/03/1997;70;26.5;24;74.2;41.3;123.2;;30.9;66.1;28.6;;51.5;77.3;66.5;11.9
1/04/1997;93;40.4;69.4;168.1;78.9;260;;71.2;96.1;41.9;;78.4;146;107.4;144.1
1/05/1997;17;17;35.1;15.9;22;81;;16;14.2;0;;15.6;40.6;21.2;4.2
1/06/1997;10;15.4;12.3;11.2;13.8;18.5;;8.2;19.5;0;;13.1;69.3;11.7;0
1/07/1997;0;0.2;0;0;0;39;;0.6;0;0;;0;1.3;0;0
1/08/1997;0;0;15.6;0;0.2;9.9;;1.2;5.9;0;;0.9;0.4;0;0
1/09/1997;33;27.4;41.3;33.5;41.1;80.5;;31.3;57.1;47.9;;22.6;55.2;49.1;45.5
1/10/1997;58;50.8;104.2;89.2;72.6;169.2;;72.4;49.4;33.6;;105.2;67.1;80.2;38.1
1/11/1997;122;119.9;124.6;119.4;136.5;301.6;;102.2;149.1;80.8;;106.4;213;136.1;110.1
1/12/1997;279;129.4;276.6;154.1;303.4;305.1;;153.9;199.6;144;;251.5;124.2;272.4;341
1/01/1998;437;103;199.6;74.4;371.7;168.5;;137.4;209.3;125.4;;160.6;108.3;300.8;468
1/02/1998;481;116.5;160;156.1;362.8;380.5;;144.2;297.1;192.7;;202;217.5;421.4;540.3
1/03/1998;474;257;249.8;242.4;440.7;298.7;;165.2;322;283.1;;196.1;191.4;359.5;629.1
1/04/1998;181;83.9;257.5;169.5;146.4;243.2;;91;202.5;65.3;;153;171.9;153;220.2
1/05/1998;51;19.6;29.9;49.3;28.4;85.4;;18.2;27.1;13.6;;31.2;78.8;47;45.1
1/06/1998;5;4.8;0;0;13.1;0;;2.8;11.6;0;;1.1;2.3;12.3;6
1/07/1998;0;1.3;0;0.7;0;0;;0;3.2;0;;0;0.4;0;0
1/08/1998;3;4.7;1.2;0;0;14.8;;2.2;9.3;0;;2.6;13.6;5.4;0
1/09/1998;7;17.8;25.5;18.3;2;67.6;;20;34.2;7.4;;21.6;77.2;12.1;14.8
1/10/1998;51;79.6;150.4;174.3;64.5;234.7;;64.7;111.9;19.2;;101.2;188.5;56.8;55.1
1/11/1998;24;29.1;34.9;91.8;33.4;158.8;;37.1;22.1;10.3;;66.1;50.8;20;21.9
1/12/1998;68;47.9;76.9;44.8;96.1;86.4;;72.7;101.9;6.5;;72.9;72.4;56.1;59
1/01/1999;124;94.8;152.9;177.5;141.3;210.3;;97.3;151.4;76;;115.9;116.8;118.6;125.4
1/02/1999;555;242.7;359;319.1;387.3;494.2;;252.4;313.6;185.4;;305.7;306.4;520.3;563.4
1/03/1999;236;69.5;95.1;100.4;160.1;253.5;;93.7;147.4;40.5;;114.5;99.5;151.5;174.3
1/04/1999;120;65;13.3;13;69.6;126;;57.6;89.1;57.1;;56.8;112.4;94.6;143.5
1/05/1999;69;53.7;31.6;54.1;80;166.7;;47.7;61;40.9;;77.8;132.1;67.7;131.9
1/06/1999;36;22.8;27.4;49.2;24.9;53.9;;25.4;46.8;20.6;;44.7;91.5;48;41.2
1/07/1999;10;22.1;2.4;5.8;5.4;20.3;;2;10.9;5.3;;6.6;23.1;13.1;0.8
1/08/1999;0;1.2;1.2;6.6;5;6.4;;7.6;4.1;0;;1;23.6;0.5;0
1/09/1999;59;81.4;114.7;107.8;40;228.3;;75.6;123.3;31.2;;75.3;201.3;59.8;61.8
1/10/1999;36;21.7;20.3;53.6;27.9;65.3;;23.3;58.1;7.1;;32;85.7;20.6;32.6
1/11/1999;74;77;90.6;130.2;52.9;138.6;;65.3;37.2;21.5;;71.2;72.8;74.3;53.9
1/12/1999;121;68.8;133.7;241.9;99.5;166.4;;77.4;122.1;38.2;;95.9;161.3;139.6;102.7
1/01/2000;120;46;66.2;92;79.7;74.8;;50.1;45.8;32.6;;50.4;69.5;113.8;131.4
1/02/2000;343;162.3;187.2;224;256.4;237;;145.3;205.7;112.5;;173.9;189.1;302.4;390.3
1/03/2000;332;126.3;155.6;220.6;202.6;221.1;;137.9;320.2;141;;194.8;224.7;293.1;422.7
1/04/2000;139;77.3;102.3;112.4;113.6;168.6;;53.4;133.9;66;;97.2;118.5;144.9;180.3
1/05/2000;74;40.5;52.4;45;63;160.7;;50.8;83.8;60.9;;139.3;83.6;71.9;98.8
1/06/2000;26;15.6;5.2;54.8;15;40.7;;19.2;15.8;4.8;;12.4;40.2;42.7;4.9
1/07/2000;1;2.1;0;1.9;1.4;1.6;;3.7;0.7;0;;1.8;7.2;1.8;0
1/08/2000;4;13.4;13.5;9.8;3.2;16.3;;21.6;22.8;2.2;;23.7;22.8;5.6;4.8
1/09/2000;31;56.6;54.1;60.7;13.1;123.2;;36.9;57.2;7;;73.5;122.4;62.6;10.1
1/10/2000;21;9.9;6.1;5.7;30.5;19.3;;6.3;41.8;8.2;;24.7;15.1;12.7;12.4
1/11/2000;38;44.5;34.8;53.4;53.7;62.8;;41;53.3;36.3;;65.8;52.3;49.6;36.7
1/12/2000;139;122.3;157.6;160.4;185.5;236.5;;137.9;160.6;128.2;;157.9;160.7;155.5;105
1/01/2001;314;191.2;282.8;249.5;326.8;341.1;;231.5;238.8;128.8;;258.3;195.2;323.3;233.7
1/02/2001;167;100.8;98;134.9;213.3;227.7;;115;152;56.1;;109.3;91.5;128.9;159.8
1/03/2001;615;230.2;323.1;445;540.4;419.2;;236.8;439.4;261.1;;238.5;305.5;461.8;633.7
1/04/2001;91;57.2;41.5;50.6;60.7;92.6;;27.5;122.8;56.7;;52.9;140.4;68.1;116.4
1/05/2001;65;48.1;28.3;39.6;56.7;88.7;;40.3;49.3;23.5;;61.7;74.4;42.8;50.6
1/06/2001;0;2.3;0;1.3;0.5;17.6;;5.4;5.8;0;;0.4;12.2;0.6;0
1/07/2001;2;13.9;2.9;5.4;4;15.2;;3.7;9.1;0;;2.9;14.8;0;0.5
1/08/2001;0;0;3;0;0;0.4;;0.3;0;0;;0;0;0;0
1/09/2001;13;34.4;12.6;32.2;41;145.2;;29.9;106.7;13.4;;24.6;108.7;14;39.6
1/10/2001;28;46.2;84.1;104.3;48.2;169.5;;99;58.2;13.3;;91.8;132.7;48.1;28.6
1/11/2001;107;93.4;97.4;162.2;104;156.1;;81.9;91.3;41.7;;106.5;143.9;125.5;128
1/12/2001;65;90.9;128.6;97;69.1;171.8;;106.8;94.5;36.6;;125;143.1;68.9;48
1/01/2002;22;27;70.5;57.9;58.2;76.2;;36.7;63.7;27.8;;59;53.6;34.4;35.5
1/02/2002;231;60;91.9;90.5;265.4;188.8;;59.6;157.7;77.4;;118.1;116.7;211;189.5
1/03/2002;312;133.1;245.3;289.1;353.6;390.1;;182.5;245.8;155.5;;235.4;245.1;337.3;395.2
1/04/2002;201;77.2;99.9;172.6;137.2;159;;68.1;197.4;47.4;;102.9;193.1;108;279.1
1/05/2002;15;23;6.3;27.9;25.3;38.1;;17.7;15.9;0;;23.3;62.1;13.1;10.3
1/06/2002;7;8.8;2;1.9;6.5;27.8;;3.8;27.5;3.7;;5.8;16.3;8.6;3.4
1/07/2002;4;10.7;23.7;29.3;1.1;15.2;;7.6;4.1;0;;13.9;30.6;9.7;0.2
1/08/2002;0;3.4;0;0;0.3;2.6;;0;0.5;0;;7;0;0;0
1/09/2002;20;14.6;43.1;2;4.1;53.3;;25;61.5;7.9;;55.1;56.7;7.4;16.8
1/10/2002;106;90.3;150;208.6;79.6;202.1;;135.2;116.7;40.9;;116.2;154.8;128;86.9
1/11/2002;77;99.9;155;122;154.5;226.5;;82.3;131.9;74.1;;87.9;185;106.6;111.2
1/12/2002;135;86.1;140.8;151.8;102.4;243;;97.8;127;65.8;;153.7;168.6;182.8;105.5
1/01/2003;112;51.1;74.1;48.7;129.9;103.8;;46.1;119.8;27.3;;46.2;64.3;104.5;116.9
1/02/2003;140;61.4;89.1;71.1;185.8;134.9;;62.1;86.8;56.1;;110.5;82.9;118.4;93.8
1/03/2003;150;97.2;159;158.6;179.3;124.3;;104.5;149;87.6;;119.8;133.8;173.1;147.9
1/04/2003;52;42.1;87.5;92.7;124.8;81.2;;36.9;61.7;24.2;;87.3;133;80.1;43.3
1/05/2003;27;30.7;33.6;27.3;38.5;76;;13.9;40.4;22.8;;23.5;80.7;37.9;22.2
1/06/2003;23;22.3;10.4;21.2;9.6;54.4;;21.3;41.1;4.2;;19.1;73.8;30.2;22.6
1/07/2003;2;1.8;0.4;1.7;0;28.9;;3.1;0;0;;3.1;18.1;5;0.1
1/08/2003;4;10.6;5.4;0.9;14;15.6;;8.4;5.1;0;;10.1;12.9;1.6;0.1
1/09/2003;2;14.8;63.6;39.5;11;47.2;;7.4;44.7;0.7;;16.3;76.6;4.6;4.1
1/10/2003;23;46;57.7;80.9;26;101.8;;62.7;56.1;1.7;;67.9;66.2;28;28.3
1/11/2003;51;63.8;111.8;95.8;32.8;112.6;;95;77.1;19.3;;111.4;117.2;49.3;44
1/12/2003;103;80.7;124;116.4;77.7;100;;64.3;67.2;39.7;;93.6;118.7;90.4;147.5
1/01/2004;39;36.1;73.5;51.3;25.6;70.3;;66.4;19.8;7.1;;68.3;93.6;33.9;37.2
1/02/2004;212;102;94.2;63.5;203.4;230.4;;66.7;189.2;71.7;;102;84.7;226.5;155.7
1/03/2004;165;56.9;104.2;101.7;145.1;168.2;;49.8;113.6;57.8;;75.7;110.5;102.5;130.9
1/04/2004;79;44.5;93.4;106.6;50.5;82.4;;39.7;85.5;37.5;;37.8;86.7;89.5;92.7
1/05/2004;21;42.4;43.1;32.9;28.3;75.4;;56.4;58.2;12.2;;40.4;76.8;35.8;22
1/06/2004;1;2.1;4.7;0;3.1;11.7;;20.7;4.2;0;;5.1;15;2.5;0
1/07/2004;7;13.8;12;20.5;6.6;41;;7.5;21.8;2.7;;14.1;44;6;5.8
1/08/2004;5;29.4;;2.5;6.2;19.1;;4.7;3.3;0.6;;6.2;5.9;1;
1/09/2004;13;19;34.8;50.3;21.1;84.8;;18.4;78.7;2.9;;18.8;90.4;13.7;
1/10/2004;58;63.4;104.4;94.4;70.3;147;;64.2;86.2;22.5;;91.5;146.3;73.5;
1/11/2004;75;92.6;154.7;225.4;85.3;168;;79;61.2;16.5;;83.9;184.7;71.6;
1/12/2004;141;123.7;161.6;143.2;92.8;240.9;;100.1;103.7;32.9;;134.2;164.8;128.8;
1/01/2005;150;84.9;36.5;79.3;135.7;157.8;;92.2;98.6;59.9;;126.9;88.2;135.1;
1/02/2005;164;53.7;100.3;103.4;116.2;231.2;;56;108.3;29.7;;73.1;117.9;114.1;
1/03/2005;376;136.6;228.2;236.5;195.9;343.3;;;251.6;135.2;;205.8;313.7;285.5;
1/04/2005;33;54;47.1;69.3;55;93.1;;33;39;18.1;;81.3;65.1;46.1;
1/05/2005;1;7.2;8.1;16.5;5.8;91.6;;6;10.4;0.8;;22.1;28.1;9.1;
1/06/2005;0;4.5;0.6;0;0;53.7;;4.7;4.5;0.8;;1;12.9;4;
1/07/2005;0;0.6;0;0;1.3;0;;0.3;1.2;0;;1.4;0.6;0;
1/08/2005;0;3.5;9.2;0;0;7.1;;5.4;9.3;0;;5.6;11.5;1.5;
1/09/2005;4;31.2;20.1;39;4.3;54.4;;15;21.6;6.3;;9.2;57.4;10.6;
1/10/2005;51;92.3;148.3;250.3;66.9;152.8;;87.1;70.1;14.3;;126.3;205.1;72.2;
1/11/2005;18;30;3.4;26.6;13.7;28.6;;16.2;36.9;6.2;;13.9;55.1;24.3;
1/12/2005;107;87.8;155.1;166.7;108.1;164.8;;90.9;109.4;29.3;;153.5;137.9;109.1;
1/01/2006;151;83.2;121.5;98.5;184.1;145.5;;93.8;162.7;83.9;;91.6;125.2;156.6;
1/02/2006;216;101.6;69.8;136.1;306;188.1;;62.4;170.5;111.6;;92.1;194.3;195;
1/03/2006;481;199.3;235.6;349.8;612.8;345.7;;;347.8;228.4;;253.6;349.3;448.6;
1/04/2006;171;77.6;93.3;62.4;118.7;184.7;;71.4;78.8;66.4;;93.1;131.9;131.3;
1/05/2006;5;7.7;9.5;3.4;19.7;62.8;;6.4;21.4;0;;8;13.6;5.4;
1/06/2006;30;23.9;20.5;11.8;34.2;62;;30.6;25.8;8.6;;40.7;76.9;23.9;
1/07/2006;3;1.8;9.5;9.1;3.6;5.1;;1.1;4.4;0;;2.9;20;4.5;
1/08/2006;2;6.1;17;3.9;9.9;15.7;;3.9;17.7;4.9;;11.5;26.3;5.8;
1/09/2006;22;33.2;24.3;66.3;27.2;88.4;;55.9;39.2;8.1;;47.9;62.4;36;
1/10/2006;2;12.7;66.3;118.3;5.4;39.8;;19.2;23.3;0;;53.4;91.5;6.6;
1/11/2006;66;60.4;96.8;123.1;124.4;158.5;;74.9;104.2;22.4;;80.4;131.9;76.7;
1/12/2006;164;81.7;229.8;144.6;172.4;183.6;;106.5;163.1;79.1;;124.2;203.1;153.8;
1/01/2007;161;95.4;130.3;91.6;;240.6;;78.4;174.7;63.1;;183.9;124.7;160.9;
1/02/2007;70;17.5;70.5;17.6;101.6;64.5;;20.3;57.1;15.3;;34.2;61.3;72.3;
1/03/2007;339;182.4;321.8;275.8;367.5;352.3;;209.9;317.6;217.7;;246.5;212.9;366.8;
1/04/2007;130;111.5;175.4;122.2;170.2;226.3;;112.4;185.5;59.1;;127;145;130.8;
1/05/2007;11;29;21.7;27.6;57.3;57.7;;18.3;61.4;9.8;;50.4;51.2;13.9;
1/06/2007;0;1.4;0;3;0;1.1;;0.4;0.8;4.1;;0;0.5;1.5;
1/07/2007;0;10.7;4.7;6;5.8;42.6;;7.9;3.8;0;;6.4;35.8;1.5;
1/08/2007;5;6.4;2.4;9.9;15;20.1;;7.6;2.7;2.2;;6.9;30.3;6.2;
1/09/2007;2;11.6;26.4;20;5.9;32.8;;10.9;6.3;0;;22.2;19.1;1.6;
1/10/2007;74;118.9;186.4;215.3;113;171.8;;116.8;86.7;40.3;;142.4;183;93.9;
1/11/2007;72;97.6;114.7;152.9;;211.1;;86.8;107.1;22.2;;153.3;156.7;86.4;
1/12/2007;54;68.8;98.5;129;67.6;170.4;;73.4;68.8;34.9;;109.5;89.1;57.4;
1/01/2008;278;80.2;165.9;98.5;188.4;190.6;;92.9;132.1;96;;124.5;120.1;271;
1/02/2008;400;133.3;164;180.2;338.1;291.2;;154.9;255.4;146.5;;176;206;301.5;
1/03/2008;286;118.4;122.1;98.8;230.5;252.4;;;219.6;116.6;;151.9;186.1;229.4;
1/04/2008;204;99.1;143.4;98.7;97.5;150.3;;;145.3;38.8;;104.2;134.7;195.5;
1/05/2008;17;22.7;18.4;48.5;;76;;;35.2;4.3;;32.3;150.4;30;
1/06/2008;3;15.4;21.4;28;26;73.3;;;13.1;1.7;;31.1;23.8;5.2;
1/07/2008;0;2.3;0;11;0;16;;;5;0.9;;1.9;25.6;0.6;
1/08/2008;4;11.7;1.6;21;0.5;11;;;18.2;0;;9.5;26.3;10.6;
1/09/2008;41;34.7;68.1;21;12.3;110.9;;;65;13.6;;52.3;115.2;32.7;
1/10/2008;86;86.5;229.5;132;108.3;182.6;;;129.9;22.7;;141.3;191.9;69.4;
1/11/2008;92;66.5;74.8;142.5;50.6;133.2;;;93.3;48.5;;83;117.4;101.9;
1/12/2008;10;;28.9;38.8;44.1;66.4;;;31.6;0;;38.4;25.3;18.4;
1/01/2009;391;171.8;309.5;212.1;264;344.8;;;226.9;166;;230;244.9;333.2;
1/02/2009;251;;157.3;75.9;319.9;197.5;;;160.1;109.9;;;142.6;268.7;
1/03/2009;461;;245.1;219.6;361.6;307.3;;;232.9;136.9;;;312.8;391.8;
1/04/2009;129;;145.5;150.9;134.1;149.6;;;147.5;34.6;;;93.7;118.7;
1/05/2009;41;;44.2;71.4;30.5;114.1;;;61.2;17.5;;;139.1;46;
1/06/2009;8;;1.4;5.8;13.3;31.3;;;24.9;8.2;;;35.4;9.6;
1/07/2009;10;;13.5;6.1;21.3;18.1;;;12.7;7.4;;;46.3;14.6;
1/08/2009;0;;1.9;0;0;8;;;13.7;0.9;;;4.3;2;
1/09/2009;2;;14.4;38.2;8.3;27;;;15.3;0;;;35.7;2;
1/10/2009;73;;190.2;98.7;91;184;;;74.8;38.4;;;139.3;103.6;
1/11/2009;125;;274.1;139.5;93;187.9;;;161.9;27.6;;;162.4;114.4;
1/12/2009;142;;122.3;116;119.1;234.8;;;89.9;35.2;;;117.9;124.5;
1/01/2010;66;;46.8;84.7;120;108;;;47.3;28;;;69;81.1;
1/02/2010;230;;137.3;200.4;249.2;169.7;;;137.8;117;;;176.3;188.3;
1/03/2010;214;;202.2;166.6;282.5;275.7;;;289.4;122.7;;;144;220.4;
1/04/2010;153;;74.8;;108.8;163.5;;;103.2;47.2;;;;101.9;
1/05/2010;34;;38.4;;29.9;83.1;;;38.7;8.9;;;;42.2;
1/06/2010;5;;14.1;;;39.4;;;13.2;0.3;;;;9.6;
1/07/2010;4;;11.1;;;44.3;;;19.1;0;;;;5.2;
1/08/2010;0;;0;;;33.6;;;3.4;0;;;;0;
1/09/2010;24;;38.3;;;29.6;;;53.5;2.3;;;;16.1;
1/10/2010;16;;53.1;;;82.7;;;36.5;8;;;;21.7;
1/11/2010;43;;80.5;;;96.5;;;44.3;18.8;;;;64.3;
1/12/2010;54;;124.9;;;182.6;;;127.1;25.1;;;;62.4;
